沃尔玛,corporate@walmart.com
沙特阿美,info@aramco.com
国家电网有限公司,95598@sgcc.com.cn
亚马逊,ir@amazon.com
中国石油天然气集团有限公司,cnpc@cnpc.com.cn
中国石油化工集团有限公司,mail@sinopec.com
壳牌集团,info@shell.com
埃克森美孚,corporatecommunications@exxonmobil.com
苹果公司,investor@apple.com
丰田汽车公司,contact@toyota.com
大众公司,info@volkswagen.de
伯克希尔-哈撒韦,berkshire@berkshirehathaway.com
三星集团,pr@samsung.com
联合健康集团,info@unitedhealthgroup.com
微软,info@microsoft.com
中国建筑集团有限公司,cscec@cscec.cn
Alphabet,info@google.com
富士康工业互联网股份有限公司,contact@fii.com
梅赛德斯-奔驰集团,info@daimler.com
中国人寿保险股份有限公司,95519@chinalife.com.cn
华为投资控股有限公司,info@huawei.com
京东集团,corp@jd.com
阿里巴巴集团,info@alibaba-inc.com
中国工商银行,95588@icbc.com.cn
中国建设银行,95533@ccb.com
元宇宙平台公司,info@meta.com
中国农业银行,95599@abchina.com
中国银行,webmaster@boc.cn
沃尔沃集团,info@volvogroup.com
可口可乐公司,info@coca-colacompany.com
强生公司,info@jnj.com
索尼集团,info@sony.com
IBM,info@ibm.com
宝洁公司,contact@pg.com
耐克公司,info@nike.com
英特尔公司,info@intel.com
思科系统,info@cisco.com
甲骨文公司,info@oracle.com
特斯拉,info@tesla.com
辉瑞制药,info@pfizer.com
拜耳集团,info@bayer.com
诺华制药,info@novartis.com
罗氏制药,info@roche.com
西门子,info@siemens.com
博世集团,info@bosch.com
巴斯夫,info@basf.com
宝马集团,info@bmw.com
安联保险集团,info@allianz.com
慕尼黑再保险,info@munichre.com
雀巢公司,info@nestle.com
默沙东,info@merck.com
雅培实验室,info@abbott.com
联合利华,info@unilever.com
百事公司,info@pepsico.com
安盛集团,info@axa.com
道达尔能源,info@totalenergies.com
欧莱雅,info@loreal.com
空中客车集团,info@airbus.com
施耐德电气,info@schneider-electric.com
米其林集团,info@michelin.com
意大利忠利保险公司,info@generali.com
意大利国家电力公司,info@enel.com
西班牙国家石油公司,info@repsol.com
Iberdrola,info@iberdrola.com
力拓集团,info@riotinto.com
必和必拓,info@bhpbilliton.com
加拿大皇家银行,info@rbc.com
多伦多道明银行,info@td.com
巴西国家石油公司,info@petrobras.com
墨西哥石油公司,info@pemex.com
俄罗斯天然气工业股份公司,info@gazprom.com
卢克石油公司,info@lukoil.com
印度信实工业有限公司,info@ril.com
塔塔集团,info@tata.com
软银集团,info@softbank.jp
三菱日联金融,info@mufg.jp
三井物产,info@mitsui.co.jp
伊藤忠商事,info@itochu.co.jp
丸红株式会社,info@marubeni.com
日立制作所,info@hitachi.com
松下控股,info@panasonic.com
本田技研工业,info@honda.com
日产汽车,info@nissan-global.com
现代汽车,info@hyundai.com
起亚汽车,info@kia.com
SK集团,info@sk.com
LG集团,info@lg.com
中国平安保险集团,95511@pingan.com
中国移动有限公司,10086@139.com
中国电信集团有限公司,10000@chinatelecom.com
中国联通,10010@chinaunicom.com.cn
中国铁路工程集团有限公司,crecg@crecg.com
中国铁道建筑集团有限公司,crcc@crcc.cn
中国海洋石油有限公司,info@cnooc.com.cn
中国五矿集团有限公司,minmetals@minmetals.com
中国宝武钢铁集团有限公司,baowu@baowugroup.com
中国华润有限公司,cr@crc.com.hk
中国中化控股有限责任公司,sinochem@sinochem.com
招商局集团有限公司,cmhk@cmhk.com
恒力集团有限公司,contact@hengli.com
正威国际集团,info@amergroup.com
绿地控股集团股份有限公司,info@greenlandsc.com
浙江吉利控股集团,info@geelyauto.com
中国交通建设集团有限公司,ccccom@ccccltd.cn
中国医药集团有限公司,sinopharm@sinopharm.com
中国建材集团有限公司,cntic@cntic.com
中国电力建设集团有限公司,powerchina@powerchina.cn
中国能源建设集团有限公司,ceec@ceec.net.cn
中国航天科技集团有限公司,info@spacechina.com
中国航天科工集团有限公司,info@casic.cn
中国兵器工业集团有限公司,norincogroup@norincogroup.com
中国电子科技集团有限公司,info@cetc.com.cn
